"periode_data","wilayah","kecamatan","kelurahan","jenis_kelamin","agama","jumlah"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARANG ANYAR","Perempuan","KATHOLIK","1056"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARANG ANYAR","Perempuan","ISLAM","10661"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARANG ANYAR","Perempuan","HINDU","10"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARANG ANYAR","Perempuan","BUDHA","1803"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARANG ANYAR","Laki_Laki","KRISTEN","1882"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARANG ANYAR","Laki_Laki","KHONGHUCU","10"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARANG ANYAR","Laki_Laki","KEPERCAYAAN","0"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARANG ANYAR","Laki_Laki","KATHOLIK","902"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARANG ANYAR","Laki_Laki","ISLAM","11298"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARANG ANYAR","Laki_Laki","HINDU","14"
"2023","JAKARTA PUSAT","SAWAH BESAR","KARANG ANYAR","Laki_Laki","BUDHA","1723"
"2023","JAKARTA PUSAT","SAWAH BESAR","PASAR BARU","Perempuan","KRISTEN","1824"
"2023","JAKARTA PUSAT","SAWAH BESAR","PASAR BARU","Perempuan","KHONGHUCU","3"
"2023","JAKARTA PUSAT","SAWAH BESAR","PASAR BARU","Perempuan","KEPERCAYAAN","0"
"2023","JAKARTA PUSAT","SAWAH BESAR","PASAR BARU","Perempuan","KATHOLIK","801"
"2023","JAKARTA PUSAT","SAWAH BESAR","PASAR BARU","Perempuan","ISLAM","3330"
"2023","JAKARTA PUSAT","SAWAH BESAR","PASAR BARU","Perempuan","HINDU","307"
"2023","JAKARTA PUSAT","SAWAH BESAR","PASAR BARU","Perempuan","BUDHA","1136"
"2023","JAKARTA PUSAT","SAWAH BESAR","PASAR BARU","Laki_Laki","KRISTEN","1606"
"2023","JAKARTA PUSAT","SAWAH BESAR","PASAR BARU","Laki_Laki","KHONGHUCU","5"
"2023","JAKARTA PUSAT","SAWAH BESAR","PASAR BARU","Laki_Laki","KEPERCAYAAN","0"
"2023","JAKARTA PUSAT","SAWAH BESAR","PASAR BARU","Laki_Laki","KATHOLIK","661"
"2023","JAKARTA PUSAT","SAWAH BESAR","PASAR BARU","Laki_Laki","ISLAM","3536"
"2023","JAKARTA PUSAT","SAWAH BESAR","PASAR BARU","Laki_Laki","HINDU","265"
"2023","JAKARTA PUSAT","SAWAH BESAR","PASAR BARU","Laki_Laki","BUDHA","1022"
"2023","JAKARTA PUSAT","GAMBIR","DURI PULO","Perempuan","KRISTEN","1235"
"2023","JAKARTA PUSAT","GAMBIR","DURI PULO","Perempuan","KHONGHUCU","5"
"2023","JAKARTA PUSAT","GAMBIR","DURI PULO","Perempuan","KEPERCAYAAN","1"
"2023","JAKARTA PUSAT","GAMBIR","DURI PULO","Perempuan","KATHOLIK","778"
"2023","JAKARTA PUSAT","GAMBIR","DURI PULO","Perempuan","ISLAM","8875"
"2023","JAKARTA PUSAT","GAMBIR","DURI PULO","Perempuan","HINDU","4"
"2023","JAKARTA PUSAT","GAMBIR","DURI PULO","Perempuan","BUDHA","859"
"2023","JAKARTA PUSAT","GAMBIR","DURI PULO","Laki_Laki","KRISTEN","1082"
"2023","JAKARTA PUSAT","GAMBIR","DURI PULO","Laki_Laki","KHONGHUCU","5"
"2023","JAKARTA PUSAT","GAMBIR","DURI PULO","Laki_Laki","KEPERCAYAAN","0"
"2023","JAKARTA PUSAT","GAMBIR","DURI PULO","Laki_Laki","KATHOLIK","671"
"2023","JAKARTA PUSAT","GAMBIR","DURI PULO","Laki_Laki","ISLAM","9397"
"2023","JAKARTA PUSAT","GAMBIR","DURI PULO","Laki_Laki","HINDU","3"
"2023","JAKARTA PUSAT","GAMBIR","DURI PULO","Laki_Laki","BUDHA","859"
"2023","JAKARTA PUSAT","GAMBIR","KEBON KELAPA","Perempuan","KRISTEN","873"
"2023","JAKARTA PUSAT","GAMBIR","KEBON KELAPA","Perempuan","KHONGHUCU","0"
"2023","JAKARTA PUSAT","GAMBIR","KEBON KELAPA","Perempuan","KEPERCAYAAN","0"
"2023","JAKARTA PUSAT","GAMBIR","KEBON KELAPA","Perempuan","KATHOLIK","546"
"2023","JAKARTA PUSAT","GAMBIR","KEBON KELAPA","Perempuan","ISLAM","4022"
"2023","JAKARTA PUSAT","GAMBIR","KEBON KELAPA","Perempuan","HINDU","41"
"2023","JAKARTA PUSAT","GAMBIR","KEBON KELAPA","Perempuan","BUDHA","442"
"2023","JAKARTA PUSAT","GAMBIR","KEBON KELAPA","Laki_Laki","KRISTEN","808"
"2023","JAKARTA PUSAT","GAMBIR","KEBON KELAPA","Laki_Laki","KHONGHUCU","1"
"2023","JAKARTA PUSAT","GAMBIR","KEBON KELAPA","Laki_Laki","KEPERCAYAAN","0"
"2023","JAKARTA PUSAT","GAMBIR","KEBON KELAPA","Laki_Laki","KATHOLIK","421"
"2023","JAKARTA PUSAT","GAMBIR","KEBON KELAPA","Laki_Laki","ISLAM","4318"
"2023","JAKARTA PUSAT","GAMBIR","KEBON KELAPA","Laki_Laki","HINDU","41"
"2023","JAKARTA PUSAT","GAMBIR","KEBON KELAPA","Laki_Laki","BUDHA","422"
"2023","JAKARTA PUSAT","GAMBIR","PETOJO SELATAN","Perempuan","KRISTEN","1110"
"2023","JAKARTA PUSAT","GAMBIR","PETOJO SELATAN","Perempuan","KHONGHUCU","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU PANGGANG","Laki_Laki","BUDHA","0"
"2023","JAKARTA PUSAT","GAMBIR","PETOJO UTARA","Laki_Laki","KATHOLIK","801"
"2023","JAKARTA PUSAT","GAMBIR","PETOJO UTARA","Laki_Laki","ISLAM","7662"
"2023","JAKARTA PUSAT","GAMBIR","PETOJO UTARA","Laki_Laki","HINDU","5"
"2023","JAKARTA PUSAT","GAMBIR","PETOJO UTARA","Laki_Laki","BUDHA","663"
"2023","JAKARTA PUSAT","GAMBIR","CIDENG","Perempuan","KRISTEN","1619"
"2023","JAKARTA PUSAT","GAMBIR","CIDENG","Perempuan","KHONGHUCU","6"
"2023","JAKARTA PUSAT","GAMBIR","CIDENG","Perempuan","KEPERCAYAAN","0"
"2023","JAKARTA PUSAT","GAMBIR","CIDENG","Perempuan","KATHOLIK","1379"
"2023","JAKARTA PUSAT","GAMBIR","CIDENG","Perempuan","ISLAM","5580"
"2023","JAKARTA PUSAT","GAMBIR","CIDENG","Perempuan","HINDU","30"
"2023","JAKARTA PUSAT","GAMBIR","CIDENG","Perempuan","BUDHA","702"
"2023","JAKARTA PUSAT","GAMBIR","CIDENG","Laki_Laki","KRISTEN","1379"
"2023","JAKARTA PUSAT","GAMBIR","CIDENG","Laki_Laki","KHONGHUCU","4"
"2023","JAKARTA PUSAT","GAMBIR","CIDENG","Laki_Laki","KEPERCAYAAN","0"
"2023","JAKARTA PUSAT","GAMBIR","CIDENG","Laki_Laki","KATHOLIK","1121"
"2023","JAKARTA PUSAT","GAMBIR","CIDENG","Laki_Laki","ISLAM","5567"
"2023","JAKARTA PUSAT","GAMBIR","CIDENG","Laki_Laki","HINDU","41"
"2023","JAKARTA PUSAT","GAMBIR","CIDENG","Laki_Laki","BUDHA","651"
"2023","JAKARTA PUSAT","GAMBIR","GAMBIR","Perempuan","KRISTEN","294"
"2023","JAKARTA PUSAT","GAMBIR","GAMBIR","Perempuan","KHONGHUCU","0"
"2023","JAKARTA PUSAT","GAMBIR","GAMBIR","Perempuan","KEPERCAYAAN","0"
"2023","JAKARTA PUSAT","GAMBIR","GAMBIR","Perempuan","KATHOLIK","70"
"2023","JAKARTA PUSAT","GAMBIR","GAMBIR","Perempuan","ISLAM","1084"
"2023","JAKARTA PUSAT","GAMBIR","GAMBIR","Perempuan","HINDU","8"
"2023","JAKARTA PUSAT","GAMBIR","GAMBIR","Perempuan","BUDHA","6"
"2023","JAKARTA PUSAT","GAMBIR","GAMBIR","Laki_Laki","KRISTEN","275"
"2023","JAKARTA PUSAT","GAMBIR","GAMBIR","Laki_Laki","KHONGHUCU","0"
"2023","JAKARTA PUSAT","GAMBIR","GAMBIR","Laki_Laki","KEPERCAYAAN","0"
"2023","JAKARTA PUSAT","GAMBIR","GAMBIR","Laki_Laki","KATHOLIK","64"
"2023","JAKARTA PUSAT","GAMBIR","GAMBIR","Laki_Laki","ISLAM","1116"
"2023","JAKARTA PUSAT","GAMBIR","GAMBIR","Laki_Laki","HINDU","9"
"2023","JAKARTA PUSAT","GAMBIR","GAMBIR","Laki_Laki","BUDHA","2"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU PARI","Perempuan","KRISTEN","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU PARI","Perempuan","KHONGHUCU","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU PARI","Perempuan","KEPERCAYAAN","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU PARI","Perempuan","KATHOLIK","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU PARI","Perempuan","ISLAM","1879"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU PARI","Perempuan","HINDU","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU PARI","Perempuan","BUDHA","2"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU PARI","Laki_Laki","KRISTEN","1"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU PARI","Laki_Laki","KHONGHUCU","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU PARI","Laki_Laki","KEPERCAYAAN","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU PANGGANG","Laki_Laki","HINDU","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU PANGGANG","Laki_Laki","ISLAM","3750"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU PANGGANG","Laki_Laki","KATHOLIK","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU PANGGANG","Laki_Laki","KEPERCAYAAN","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU PANGGANG","Laki_Laki","KHONGHUCU","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU PANGGANG","Laki_Laki","KRISTEN","3"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU PANGGANG","Perempuan","BUDHA","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU PANGGANG","Perempuan","HINDU","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU PANGGANG","Perempuan","ISLAM","3579"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU PANGGANG","Perempuan","KATHOLIK","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU PANGGANG","Perempuan","KEPERCAYAAN","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU PANGGANG","Perempuan","KHONGHUCU","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU PANGGANG","Perempuan","KRISTEN","2"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU KELAPA","Laki_Laki","BUDHA","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU KELAPA","Laki_Laki","HINDU","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU KELAPA","Laki_Laki","ISLAM","3766"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU KELAPA","Laki_Laki","KATHOLIK","2"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU KELAPA","Laki_Laki","KEPERCAYAAN","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU KELAPA","Laki_Laki","KHONGHUCU","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU KELAPA","Laki_Laki","KRISTEN","2"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU KELAPA","Perempuan","BUDHA","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU KELAPA","Perempuan","HINDU","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU KELAPA","Perempuan","ISLAM","3752"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU KELAPA","Perempuan","KATHOLIK","1"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU KELAPA","Perempuan","KEPERCAYAAN","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU KELAPA","Perempuan","KHONGHUCU","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU KELAPA","Perempuan","KRISTEN","3"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU HARAPAN","Laki_Laki","BUDHA","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU HARAPAN","Laki_Laki","HINDU","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU HARAPAN","Laki_Laki","ISLAM","1419"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU HARAPAN","Laki_Laki","KATHOLIK","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU HARAPAN","Laki_Laki","KEPERCAYAAN","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU HARAPAN","Laki_Laki","KHONGHUCU","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU HARAPAN","Laki_Laki","KRISTEN","3"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU HARAPAN","Perempuan","BUDHA","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU HARAPAN","Perempuan","HINDU","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU HARAPAN","Perempuan","ISLAM","1394"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU HARAPAN","Perempuan","KATHOLIK","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU HARAPAN","Perempuan","KEPERCAYAAN","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU HARAPAN","Perempuan","KHONGHUCU","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU HARAPAN","Perempuan","KRISTEN","3"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU UNTUNG JAWA","Laki_Laki","BUDHA","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU UNTUNG JAWA","Laki_Laki","HINDU","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU UNTUNG JAWA","Laki_Laki","ISLAM","1373"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU UNTUNG JAWA","Laki_Laki","KATHOLIK","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU UNTUNG JAWA","Laki_Laki","KEPERCAYAAN","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU UNTUNG JAWA","Laki_Laki","KHONGHUCU","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU UNTUNG JAWA","Laki_Laki","KRISTEN","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU UNTUNG JAWA","Perempuan","BUDHA","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU UNTUNG JAWA","Perempuan","HINDU","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU UNTUNG JAWA","Perempuan","ISLAM","1322"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU UNTUNG JAWA","Perempuan","KATHOLIK","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU UNTUNG JAWA","Perempuan","KEPERCAYAAN","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU UNTUNG JAWA","Perempuan","KHONGHUCU","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU UNTUNG JAWA","Perempuan","KRISTEN","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU TIDUNG","Laki_Laki","BUDHA","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU TIDUNG","Laki_Laki","HINDU","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU TIDUNG","Laki_Laki","ISLAM","3157"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU TIDUNG","Laki_Laki","KATHOLIK","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU TIDUNG","Laki_Laki","KEPERCAYAAN","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU TIDUNG","Laki_Laki","KHONGHUCU","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU TIDUNG","Laki_Laki","KRISTEN","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU TIDUNG","Perempuan","BUDHA","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU TIDUNG","Perempuan","HINDU","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU TIDUNG","Perempuan","ISLAM","3072"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU TIDUNG","Perempuan","KATHOLIK","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU TIDUNG","Perempuan","KEPERCAYAAN","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU TIDUNG","Perempuan","KHONGHUCU","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU TIDUNG","Perempuan","KRISTEN","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU PARI","Laki_Laki","BUDHA","2"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU PARI","Laki_Laki","HINDU","0"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU PARI","Laki_Laki","ISLAM","1935"
"2023","ADM. KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU PARI","Laki_Laki","KATHOLIK","0"
"2023","JAKARTA PUSAT","KEMAYORAN","KEBON KOSONG","Perempuan","KATHOLIK","741"
"2023","JAKARTA PUSAT","KEMAYORAN","KEBON KOSONG","Perempuan","ISLAM","15669"
"2023","JAKARTA PUSAT","KEMAYORAN","KEBON KOSONG","Perempuan","HINDU","85"
"2023","JAKARTA PUSAT","KEMAYORAN","KEBON KOSONG","Perempuan","BUDHA","620"
"2023","JAKARTA PUSAT","KEMAYORAN","KEBON KOSONG","Laki_Laki","KRISTEN","1801"
"2023","JAKARTA PUSAT","KEMAYORAN","KEBON KOSONG","Laki_Laki","KHONGHUCU","1"
"2023","JAKARTA PUSAT","KEMAYORAN","KEBON KOSONG","Laki_Laki","KEPERCAYAAN","0"
"2023","JAKARTA PUSAT","KEMAYORAN","KEBON KOSONG","Laki_Laki","KATHOLIK","654"
"2023","JAKARTA PUSAT","KEMAYORAN","KEBON KOSONG","Laki_Laki","ISLAM","15644"
"2023","JAKARTA PUSAT","KEMAYORAN","KEBON KOSONG","Laki_Laki","HINDU","86"
"2023","JAKARTA PUSAT","KEMAYORAN","KEBON KOSONG","Laki_Laki","BUDHA","627"
"2023","JAKARTA PUSAT","KEMAYORAN","KEMAYORAN","Perempuan","KRISTEN","1660"
"2023","JAKARTA PUSAT","KEMAYORAN","KEMAYORAN","Perempuan","KHONGHUCU","0"
"2023","JAKARTA PUSAT","KEMAYORAN","KEMAYORAN","Perempuan","KEPERCAYAAN","0"
"2023","JAKARTA PUSAT","KEMAYORAN","KEMAYORAN","Perempuan","KATHOLIK","747"
"2023","JAKARTA PUSAT","KEMAYORAN","KEMAYORAN","Perempuan","ISLAM","9354"
"2023","JAKARTA PUSAT","KEMAYORAN","KEMAYORAN","Perempuan","HINDU","64"
"2023","JAKARTA PUSAT","KEMAYORAN","KEMAYORAN","Perempuan","BUDHA","664"
"2023","JAKARTA PUSAT","KEMAYORAN","KEMAYORAN","Laki_Laki","KRISTEN","1469"
"2023","JAKARTA PUSAT","KEMAYORAN","KEMAYORAN","Laki_Laki","KHONGHUCU","0"
"2023","JAKARTA PUSAT","KEMAYORAN","KEMAYORAN","Laki_Laki","KEPERCAYAAN","1"
"2023","JAKARTA PUSAT","KEMAYORAN","KEMAYORAN","Laki_Laki","KATHOLIK","650"
"2023","JAKARTA PUSAT","KEMAYORAN","KEMAYORAN","Laki_Laki","ISLAM","9749"
"2023","JAKARTA PUSAT","KEMAYORAN","KEMAYORAN","Laki_Laki","HINDU","48"
